variant,operation,reference,avx2,avx512,reference_over_avx512,avx2_over_avx512
AIMER-128f,sign,8983574,1346647,774954,11.59,1.74
AIMER-128s,sign,73300846,10024946,5434747,13.49,1.84
AIMER-192f,sign,17564992,3391874,2117497,8.30,1.60
AIMER-192s,sign,137642299,25234828,15185253,9.06,1.66
AIMER-256f,sign,44468943,6685139,3872719,11.48,1.73
AIMER-256s,sign,347547541,47950861,26097011,13.32,1.84
AIMER-128f,verify,8306999,1322628,784276,10.59,1.69
AIMER-128s,verify,71723444,9888369,5303667,13.52,1.86
AIMER-192f,verify,16200801,3392433,2151221,7.53,1.58
AIMER-192s,verify,136979070,25051151,15023986,9.12,1.67
AIMER-256f,verify,40857053,6665384,3881205,10.53,1.72
AIMER-256s,verify,346444256,47656786,25852180,13.40,1.84
